_c0,_c2,_c4,AverageRating
zx1lLUvlRUN5nQlSj3HRDw,"282 River StTroy, NY 12180","List(Shopping, Antiques)",5.0
ztswDToyZGyL_dxo0CEQew,"200 W SenecaIthaca, NY 14850","List(Food, Ice Cream & Frozen Yogurt)",5.0
ziS_fZ7Z99fa4qNVr879vg,"141 The CommonsSte 3Ithaca, NY 14850","List(Day Spas, Massage, Beauty and Spas)",5.0
ymeliOh5jPjpmlaWL9R0-w,"230 W 108th StManhattan ValleyNew York, NY 10025","List(Photographers, Videographers, Event Planning & Services)",5.0
yRApveyZf_brPcVPlXg6eQ,"101 E Green StIthaca, NY 14850","List(Libraries, Public Services & Government)",5.0
yOZy7PXpUG156HUZJ_4hcQ,"588 New Loudon Rd Ste 6Latham, NY 12110","List(Arts & Entertainment, Art Galleries, Shopping)",5.0
yCcJBqillow6KhK_E6eoJw,"609 Clinton PlzIthaca, NY 14850","List(Hair Salons, Beauty and Spas)",5.0
xn0H2Sua4HZ0bC3bmHdWPA,"1011 W Seneca StIthaca, NY 14850","List(Pets, Pet Stores)",5.0
xGrSJeQhxW5zPQAorcJDuQ,"501 S Meadow StIthaca, NY 14850","List(Nail Salons, Beauty and Spas)",5.0
vry0EIIXrlQnIZj3c3JdaQ,"275-277 W 113th StHarlemNew York, NY 10026","List(Used, Vintage & Consignment, Fashion, Shopping, Personal Shopping)",5.0
